region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,activite_statut,operateur,lon,lat
Maritime,Zio,Zio 1,Tsévié,Tsevie,Agence Togocom Tsevie,"Agence Togocom Tsevie, Tsevie",{Utilise},Togocom,1.2079766666666667,6.408834999999999
Kara,Bassar,Bassar 3,Kabou,Kabou Marche,Agence Togocom Kabou Marche,"Agence Togocom Kabou Marche, Kabou Marche",{Utilise},Togocom,0.8122702048081362,9.452944931014047
Maritime,Avé,Avé 1,Kévé,Quartier Latin,Agence Togocom Quartier Latin,"Agence Togocom Quartier Latin, Quartier Latin",{Utilise},Togocom,0.9252233333333333,6.43472
Kara,Doufelgou,Doufelgou 1,Niamtougou,Niamtougou,Agence Togocom Niamtougou,"Agence Togocom Niamtougou, Niamtougou, BP220 Lomé",{Utilise},Togocom,1.1079416666666666,9.765661666666666
Maritime,Avé,Avé 1,Assahoun,Kpetoume,Franchise Togocom Kpetoume,"Franchise Togocom Kpetoume, Kpetoume",{Utilise},Togocom,0.914285339800625,6.449476733858452
Maritime,Yoto,Yoto 1,Tabligbo,Tabligbo,Agence Togocom Tabligbo,"Agence Togocom Tabligbo, Tabligbo",{Ferme},Togocom,1.5003568420170923,6.588522752291423
Maritime,Zio,Zio 3,Agbélouvé,Agbelouve Ville ,Franchise Togocom Agbelouve Ville ,"Franchise Togocom Agbelouve Ville , Agbelouve Ville ",{Utilise},Togocom,1.1668566666666667,6.675084999999999
Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,Awassi Onorio,Agence Togocom Awassi Onorio,"Agence Togocom Awassi Onorio, Awassi Onorio",{Utilise},Togocom,1.6287033333333332,6.49556
Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,Awassi Onorio,Boutique Togocom Awassi Onorio,"Boutique Togocom Awassi Onorio, Awassi Onorio",{Ferme},Togocom,1.62298,6.496435000000001
Plateaux,Haho,Haho 4,Wahala,Wahala,Agence Togocom Wahala,"Agence Togocom Wahala, Wahala",{Utilise},Togocom,1.1648266666666667,7.174345
Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,Tohoun,Agence Togocom Tohoun,"Agence Togocom Tohoun, Tohoun",{Utilise},Togocom,1.6099366666666668,7.022291666666666
Plateaux,Ogou,Ogou 3,Gléi,Affaire Sociale ,Point de Vente Togocom Glei,"Point de Vente Togocom Glei, Affaire Sociale ",{Utilise},Togocom,1.16454,7.315633333333333
Plateaux,Kloto,Kloto 1,Agome-Kpalime,Djodjokondji,Agence Togocom Djodjokondji,"Agence Togocom Djodjokondji, Djodjokondji",{Utilise},Togocom,0.6346387593291425,6.900210361505778
Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,Kpele Adeta,Franchise Togocom Kpele Adeta,"Franchise Togocom Kpele Adeta, Kpele Adeta",{Utilise},Togocom,0.7312616666666667,7.131715000000001
Plateaux,Anié,Anié 1,Anié,Anie,Agence Tococom Anie,"Agence Tococom Anie, Anie",{Utilise},Togocom,1.1928466666666668,7.764953333333334
Plateaux,Haho,Haho 3,Kpédomé,Tegbe,Agence Togocom Notse,"Agence Togocom Notse, Tegbe",{Utilise},Togocom,1.1720865663441928,6.964964238966572
Plateaux,Agou,Agou 1,Agou-Tavié,Gadzepe,Agence Togocom Gadzepe,"Agence Togocom Gadzepe, Gadzepe",{Utilise},Togocom,0.716431603393936,6.846996147111316
Savanes,Tône,Tône 1,Dapaong,Napiegou ,Agence Togocom Dapaong,"Agence Togocom Dapaong, Napiegou ",{Utilise},Togocom,0.2034783333333333,10.862998333333334
Savanes,Cinkassé,Cinkassé 1,Cinkassé,Cinkasse ,Agence Togocom Cinkasse,"Agence Togocom Cinkasse, Cinkasse ",{Utilise},Togocom,0.0396640250646777,11.087926289288212
Savanes,Oti-Sud,Oti-Sud 1,Gando,Gando ,Agence Togocom Gando,"Agence Togocom Gando, Gando ",{Utilise},Togocom,0.7468683333333334,10.331795
