adm2_pcode,adm2_name,adm3_pcode,adm3_name,center_lat,center_lon,area_sqkm
TG0517,Cinkasse,TG051702,Boade,11.108355,-0.05601728,25.04098877
TG0103,Sotouboua,TG010303,Bodjonde,8.442927,1.03279313,57.49714644
TG0515,Tandjoare,TG051502,Bogou,10.649995,0.14981096,57.52850037
TG0207,Kozah,TG020703,Bohou,9.596143,1.16468957,17.59177619
TG0308,Zio,TG030803,Bolou Kpeta,6.44595,1.12974679,75.17100293
TG0515,Tandjoare,TG051503,Bombouaka,10.717816,0.22336043,64.00603523
TG0513,Kpendjal,TG051301,Borgou,10.762763,0.62208454,630.94795851
TG0203,Binah,TG020301,Boufale,9.8547775,1.32313799,55.44773884
TG0201,Assoli,TG020103,Boulade,9.401495,1.21946721,71.13673046
TG0515,Tandjoare,TG051504,Boulogou,10.642865,0.27392014,39.50900768
TG0102,Plaine du Mo,TG010201,Boulohou,8.6852175,0.66243437,343.72523994
TG0517,Cinkasse,TG051703,Cinkasse,11.0828045,0.04032119,34.0791149
TG0306,Vo,TG030603,Dagbati,6.487658,1.5049104,96.54854893
TG0201,Assoli,TG020104,Dako/Daoude,9.3555415,1.05143997,250.51482682
TG0308,Zio,TG030804,Dalave,6.3419855,1.27370846,103.47654966
TG0406,Haho,TG040603,Dalia,6.817003,1.18224255,158.84354598
TG0404,Danyi,TG040403,Danyi-Kakpa,7.1625165,0.64541436,88.41113515
TG0404,Danyi,TG040402,Danyi Kpeto-Evita,7.2616505,0.74323575,46.63012606
TG0516,Tone,TG051602,Dapaong,10.880235,0.19746596,165.31597873
TG0409,Ogou,TG040902,Datcha,7.4069995,1.18572572,98.1093104
TG0308,Zio,TG030805,Davie,6.3561175,1.16549058,69.94209047
TG0205,Doufelgou,TG020504,Defale,9.8860155,1.07934099,68.40373176
TG0101,Blitta,TG010105,Diguengue,8.0641155,0.63998792,97.867113
TG0101,Blitta,TG010106,Dikpeleou,8.183186,0.61447923,27.19956181
TG0202,Bassar,TG020205,Dimori,9.170561,0.57314702,284.1622148
TG0308,Zio,TG030806,Djagble,6.2388635,1.2881106,32.67444796
TG0207,Kozah,TG020704,Djamde,9.490575,1.03201031,157.00643847
TG0102,Plaine du Mo,TG010202,Djarkpanga,8.779051,0.52168898,294.45483295
TG0406,Haho,TG040604,Djemegni,7.0311175,1.3160669,203.60055166
TG0410,Akebou,TG041001,Djon,7.7387945,0.80549589,187.394431
TG0101,Blitta,TG010107,Doufouli,8.3049165,0.90768357,144.82694129
TG0515,Tandjoare,TG051505,Doukpergou,10.635806,0.05960501,64.94575532
TG0402,Wawa,TG040202,Doume,7.5563435,0.77746771,58.39055864
TG0301,Ave,TG030104,Dzolo,6.380591,0.90563391,123.4217079
TG0306,Vo,TG030604,Dzrekpo,6.4402515,1.56889204,57.58431778
TG0401,Amou,TG040104,Ekpegnon,7.307489,0.97933512,142.15177543
TG0405,Est-Mono,TG040502,Elavagnon,7.951309,1.34260311,289.61591573
TG0404,Danyi,TG040404,Elavagnon/Atigba,7.2695515,0.69932985,192.72190878
TG0307,Yoto,TG030703,Esse Godjin,6.7144905,1.54500252,77.18600385
TG0401,Amou,TG040105,Evou,7.524058,1.02273753,39.9581071
TG0514,Oti,TG051402,Fare,10.1739515,0.38409272,48.89351522
TG0103,Sotouboua,TG010304,Fazao,8.7494845,0.78892313,308.47450577
TG0403,Agou,TG040311,Gadja,6.803169,0.84803928,207.46754634
TG0514,Oti,TG051403,Galangashie,10.485587,0.34012209,445.64436057
TG0308,Zio,TG030807,Game,6.748451,1.16453913,208.40690193
TG0401,Amou,TG040106,Game,7.771153,1.06801705,340.84807436
TG0304,Lacs,TG030406,Ganave/Fiata,6.3263905,1.63842395,22.93776515
TG0519,Oti-Sud,TG051901,Gando,10.295577,0.78420746,351.65102478
TG0308,Zio,TG030809,Gape-Centre,6.6020945,1.07264145,262.14839081
TG0308,Zio,TG030808,Gape Kpodji,6.708993,0.94511796,111.38099797
TG0405,Est-Mono,TG040503,Gbadjahe,7.8529635,1.34766003,164.63660748
TG0407,Kpele,TG040703,Gbaladze,7.212238,0.76220256,32.94298358
TG0412,Kloto,TG041203,Gbalave,6.867997,0.59558739,20.35007374
TG0308,Zio,TG030810,Gbatope,6.4873215,1.28365465,269.83147349
TG0410,Akebou,TG041002,Gbende,7.76183,0.68044707,110.44042057
TG0308,Zio,TG030811,Gblainvie,6.497109,1.11177847,111.24522254
TG0307,Yoto,TG030704,Gboto,6.7166405,1.48255648,60.35619288
TG0409,Ogou,TG040903,Glei,7.2810905,1.24406962,455.49961696
TG0304,Lacs,TG030407,Glidji,6.2709135,1.60575814,40.04226344
TG0411,Anie,TG041104,Glitto,7.6021915,1.56282627,329.67837578
TG0409,Ogou,TG040904,Gnagna,7.5037845,1.16031023,76.22693236
TG0517,Cinkasse,TG051704,Gnoaga,11.111916,-0.09657142,5.85951685
TG0402,Wawa,TG040203,Gobe/Eketo/Gbadi N'Kugna,7.454922,0.75501099,368.03074071
