adm2_pcode,adm2_name,adm3_pcode,adm3_name,center_lat,center_lon,area_sqkm
TG0408,Moyen-Mono,TG040806,Tohoun,7.0528345,1.60018921,112.91748905
TG0307,Yoto,TG030710,Tokpli,6.6277465,1.57326266,79.48497246
TG0412,Kloto,TG041209,Tome,6.817672,0.65443538,29.52867054
TG0402,Wawa,TG040209,Tomegbe,7.5197915,0.59807356,93.8977092
TG0307,Yoto,TG030711,Tomety-Kondji,6.8246885,1.54342999,157.14037738
TG0412,Kloto,TG041210,Tove,6.871419,0.65531955,37.52211023
TG0301,Ave,TG030107,Tovegan,6.6162905,0.9155744,188.80213605
TG0308,Zio,TG030815,Tsevie,6.4936375,1.19877718,116.95159486
TG0309,Agoe-Nyive,TG030905,Vakpossito,6.214873,1.1633662,4.03594393
TG0410,Akebou,TG041007,Veh,7.67406,0.70900105,33.91341298
TG0306,Vo,TG030610,Vo-Koutime,6.398733,1.53695039,61.68650901
TG0306,Vo,TG030609,Vogan,6.360466,1.50164628,161.9336999
TG0406,Haho,TG040608,Wahala,7.2075155,1.28973092,444.20850382
TG0101,Blitta,TG010118,Waragni,8.2521635,1.00891483,42.96547975
TG0206,Keran,TG020609,Warengo,10.0819295,1.11147632,68.27792034
TG0105,Tchaoudjo,TG010512,Wassarabo,9.003732,1.26140535,46.54084623
TG0101,Blitta,TG010119,Welly,8.0535255,0.91580719,294.06409083
TG0308,Zio,TG030816,Wli,6.3971465,1.12262367,49.75528926
TG0412,Kloto,TG041211,Wome,6.8477275,0.55814018,28.77060176
TG0207,Kozah,TG020715,Yade,9.595022,1.14526711,19.57570428
TG0410,Akebou,TG041008,Yalla,7.8277485,0.66327169,95.23830434
TG0101,Blitta,TG010120,Yaloumbe,8.3333705,1.09352962,79.87229037
TG0101,Blitta,TG010121,Yegue,8.1621405,0.70692491,166.51759461
TG0404,Danyi,TG040405,Yikpa,7.1292065,0.61654525,17.32860351
TG0412,Kloto,TG041212,Yokele,6.937951,0.68000734,38.33505891
TG0307,Yoto,TG030712,Zafi,6.7097305,1.29181766,155.05688769
TG0309,Agoe-Nyive,TG030906,Zanguera,6.235796,1.12626888,21.98281154
