region_nom_bdd,prefecture_nom_bdd,canton_nom_bdd,nb_agences,nb_agents_mobile_money,lon,lat,sans_agence_operateur,rang_desserte_mm,zone_prioritaire,dist_km_agence_plus_proche,dist_km_agent_mm_plus_proche,population_totale,population_masculin,population_feminin,population_method,adm2_name_hdx,adm3_name_hdx,adm3_pcode_hdx,area_sqkm_hdx,densite_pop_par_km2,agences_pour_10k_hab,agents_mm_pour_10k_hab
Centrale,Tchamba,Bago,0.0,44,1.3587043334897762,8.491423976478787,True,304.0,False,38.3,3.38,36587,18745,17842,exact,Tchamba,Bago,TG010403,367.14003544,99.7,0.0,12.03
Centrale,Tchamba,Balanka,0.0,11,1.6148622728590296,8.866357969339782,True,146.0,False,13.56,0.1,11784,6038,5746,exact,Tchamba,Balanka,TG010404,69.73358672,169.0,0.0,9.33
Centrale,Tchamba,Goubi,0.0,17,1.4722837977829508,8.636538350237492,True,200.0,False,18.03,1.8,10845,5514,5331,exact,Tchamba,Goubi,TG010405,154.33528576,70.3,0.0,15.68
Centrale,Tchamba,Kaboli,1.0,40,1.5946822177698374,8.720723044410555,False,293.0,False,2.85,1.9,30575,15113,15462,exact,Tchamba,Kaboli,TG010406,935.54111888,32.7,0.33,13.08
Centrale,Tchamba,Koussountou,0.0,41,1.5172256686465313,8.888435629438918,True,297.0,False,17.86,0.19,28343,14294,14049,exact,Tchamba,Koussountou,TG010407,470.07729505,60.3,0.0,14.47
Centrale,Tchamba,Kri-Kri,0.0,2,1.4152225,9.197596666666668,True,14.0,True,19.53,0.76,7359,3660,3699,fuzzy,Tchamba,Kri-Kri,TG010408,137.52206254,53.5,0.0,2.72
Centrale,Tchamba,Larini,0.0,3,1.4168450000000001,9.046267777777778,True,32.0,True,2.71,0.21,7113,3576,3537,fuzzy,Tchamba,Larni,TG010409,75.47808576,94.2,0.0,4.22
Centrale,Tchamba,Tchamba,1.0,40,1.427981219512195,9.022857642276422,False,293.0,False,1.38,0.18,48392,24189,24203,exact,Tchamba,Tchamba,TG010410,285.42107839,169.5,0.21,8.27
Centrale,Tchaoudjo,Agouloudè,0.0,13,1.3245735897435897,9.119722051282052,True,170.0,False,14.76,0.06,,,,non_disponible,,,,,,,
Centrale,Tchaoudjo,Aléhéridè,0.0,27,1.1987830153653403,9.20538389808031,True,263.0,False,17.27,0.16,6123,2976,3147,exact,Tchaoudjo,Aleheride/Amaide,TG010502,243.50860851,25.1,0.0,44.1
Centrale,Tchaoudjo,Amaïde,0.0,20,1.1743597632642158,9.163682607428413,True,225.0,False,19.13,1.38,4338,2138,2200,exact,Tchaoudjo,Aleheride/Amaide,TG010502,243.50860851,17.8,0.0,46.1
Centrale,Tchaoudjo,Kadambara,0.0,56,1.158095556749109,8.953419622849358,True,318.0,False,2.03,0.1,23526,11637,11889,exact,Tchaoudjo,Kadambara,TG010503,323.92108263,72.6,0.0,23.8
Centrale,Tchaoudjo,Kolina,0.0,13,1.1087096388079185,9.094438541447413,True,170.0,False,11.39,3.2,4147,2043,2104,exact,Tchaoudjo,Kolina,TG010505,110.34050447,37.6,0.0,31.35
Centrale,Tchaoudjo,Kpangalam,0.0,261,1.1344034428463055,9.011525973935228,True,357.0,False,1.77,0.06,37115,18218,18897,exact,Tchaoudjo,Kpangalam,TG010507,284.18731645,130.6,0.0,70.32
Centrale,Tchaoudjo,Kparataou,0.0,66,1.253723698969873,8.937402891349581,True,327.0,False,11.97,2.07,16588,8332,8256,fuzzy,Tchaoudjo,Kparatao,TG010508,142.0433809,116.8,0.0,39.79
Centrale,Tchaoudjo,Kpassaouade,0.0,10,1.2760635,9.046429,True,130.0,False,15.55,2.07,3468,1691,1777,fuzzy,Tchaoudjo,Kpassouade,TG010509,80.89558582,42.9,0.0,28.84
Centrale,Tchaoudjo,Kéméni,0.0,5,1.2441981029197153,9.233921147857192,True,56.0,True,13.37,0.09,2876,1460,1416,exact,Tchaoudjo,Kemeni,TG010504,117.16222311,24.5,0.0,17.39
Centrale,Tchaoudjo,Lama-Tessi,0.0,45,1.0792142311449526,8.85347750774746,True,305.0,False,15.07,0.72,24891,12303,12588,exact,Tchaoudjo,Lama-Tessi,TG010510,469.86990034,53.0,0.0,18.08
Centrale,Tchaoudjo,Sokodè (Komah),4.0,862,1.1440310464580719,8.981709855465835,False,369.0,False,0.48,0.02,91606,45650,45956,fuzzy,Tchaoudjo,Komah,TG010506,95.50859639,959.1,0.44,94.1
Centrale,Tchaoudjo,Tchalo,0.0,23,1.1214497956974534,8.936543296602869,True,244.0,False,4.82,0.18,8871,4393,4478,exact,Tchaoudjo,Tchalo,TG010511,217.53714626,40.8,0.0,25.93
Centrale,Tchaoudjo,Wassarabo,0.0,10,1.259009,9.015175333333334,True,130.0,False,13.02,1.35,3097,1497,1600,exact,Tchaoudjo,Wassarabo,TG010512,46.54084623,66.5,0.0,32.29
Kara,Assoli,Alédjo,0.0,18,1.2257027231371758,9.275263477629814,True,214.0,False,9.0,0.51,4809,2471,2338,exact,Assoli,Aledjo,TG020101,187.60499906,25.6,0.0,37.43
Kara,Assoli,Bafilo,1.0,153,1.2478362924414477,9.354941916839953,False,347.0,False,0.43,0.17,27038,13763,13275,exact,Assoli,Bafilo,TG020102,155.73833688,173.6,0.37,56.59
Kara,Assoli,Bouladè,0.0,7,1.2266805897612296,9.40480419532284,True,85.0,True,5.95,2.06,5384,2683,2701,exact,Assoli,Boulade,TG020103,71.13673046,75.7,0.0,13.0
Kara,Assoli,Dako (Daoude),0.0,9,1.0656618169804375,9.323258788144905,True,112.0,False,19.86,0.24,,,,non_disponible,,,,,,,
Kara,Assoli,Koumondè,0.0,13,1.23794902125585,9.305597051315692,True,170.0,False,5.44,0.26,5124,2415,2709,exact,Assoli,Koumonde,TG020105,58.65125951,87.4,0.0,25.37
Kara,Assoli,Soudou,0.0,28,1.3432113168677007,9.369080804516798,True,269.0,False,11.01,1.18,16044,7891,8153,exact,Assoli,Soudou,TG020106,209.46292059,76.6,0.0,17.45
Kara,Bassar,Baghan,0.0,9,0.6608807407407408,9.0658,True,112.0,False,25.26,3.19,11814,6070,5744,exact,Bassar,Baghan,TG020201,473.15921301,25.0,0.0,7.62
