FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,operateur,geometry
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-509a,Maritime,Lacs,Lacs 3,Gbodjomé,"Moov, Togocom",POINT (1.4061486518636759 6.193253110036903)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5099,Kara,Kozah,Kozah 3,Kpinzindè,Togocom,POINT (1.371036666666667 9.473749999999999)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5098,Maritime,Lacs,Lacs 2,Aklakou,Togocom,POINT (1.7930483333333331 6.285635)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5097,Kara,Kozah,Kozah 1,Commune De Kara,Togocom,POINT (1.1893133333333334 9.533983333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5096,Maritime,Lacs,Lacs 4,Fiata,Moov,POINT (1.6679650000000001 6.310490000000001)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5095,Kara,Kozah,Kozah 1,Commune De Kara,"Moov, Togocom",POINT (1.2044616666666668 9.548273333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5094,Maritime,Lacs,Lacs 1,Aného,"Moov, Togocom",POINT (1.5713566666666665 6.228813333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5093,Maritime,Lacs,Lacs 4,Fiata,"Moov, Togocom",POINT (1.6469 6.2969800000000005)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5092,Maritime,Lacs,Lacs 1,Canton D’Aneho,"Moov, Togocom",POINT (1.6257966074769428 6.240582593599037)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5091,Kara,Kozah,Kozah 1,Commune De Kara,"Moov, Togocom",POINT (1.2012749999999999 9.548276666666668)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5090,Kara,Kozah,Kozah 1,Commune De Kara,"Moov, Togocom",POINT (1.2168483333333335 9.56286)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-508f,Kara,Kozah,Kozah 1,Commune De Kara,Togocom,POINT (1.1927612 9.5665299)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-508e,Kara,Kozah,Kozah 2,Kouméa,"Moov, Togocom",POINT (1.1862433333333333 9.72302)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-508d,Maritime,Lacs,Lacs 3,Agbodrafo,"Moov, Togocom",POINT (1.5129766666666669 6.221275000000001)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-508c,Maritime,Lacs,Lacs 3,Gbodjomé,"Moov, Togocom",POINT (1.3922284085613486 6.188583065852557)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-508b,Maritime,Lacs,Lacs 4,Ganavé,"Moov, Togocom",POINT (1.6319083333333335 6.3330649999999995)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-508a,Kara,Kozah,Kozah 2,Kouméa,"Moov, Togocom",POINT (1.1859950000000001 9.723516666666665)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5089,Kara,Kozah,Kozah 1,Commune De Kara,"Moov, Togocom",POINT (1.1932249425738732 9.547032008058308)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5088,Maritime,Lacs,Lacs 3,Gbodjomé,"Moov, Togocom",POINT (1.4052250000000002 6.199465)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5087,Maritime,Lacs,Lacs 1,Aného,"Moov, Togocom",POINT (1.5843552316556546 6.229946260825085)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5086,Kara,Kozah,Kozah 1,Commune De Kara,"Moov, Togocom",POINT (1.218215 9.562608333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5085,Kara,Kozah,Kozah 1,Lassa,"Moov, Togocom",POINT (1.195 9.650518333333334)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5084,Kara,Kozah,Kozah 1,Commune De Kara,"Moov, Togocom",POINT (1.1930233333333333 9.566728333333334)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5083,Maritime,Lacs,Lacs 3,Gbodjomé,"Moov, Togocom",POINT (1.4093866666666666 6.202240000000001)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5082,Kara,Kozah,Kozah 1,Lassa,Togocom,POINT (1.2392691839955305 9.598469618098155)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5081,Kara,Kozah,Kozah 1,Commune De Kara,Togocom,POINT (1.2079233333333332 9.556118333333334)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5080,Kara,Kozah,Kozah 1,Commune De Kara,Togocom,POINT (1.1959633333333333 9.553518333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-507f,Kara,Kozah,Kozah 1,Commune De Kara,"Moov, Togocom",POINT (1.171685 9.548106666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-507e,Maritime,Lacs,Lacs 1,Canton D’Aneho,Togocom,POINT (1.6056883333333332 6.2347383333333335)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-507d,Maritime,Lacs,Lacs 1,Canton D’Aneho,"Moov, Togocom",POINT (1.6069987574073283 6.2355220664985005)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-507c,Kara,Kozah,Kozah 1,Commune De Kara,"Moov, Togocom",POINT (1.2080983333333333 9.555936666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-507b,Maritime,Lacs,Lacs 3,Gbodjomé,"Moov, Togocom",POINT (1.3945450000000001 6.190925000000001)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-507a,Kara,Kozah,Kozah 1,Commune De Kara,"Moov, Togocom",POINT (1.1923750000000002 9.548691666666667)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5079,Maritime,Lacs,Lacs 3,Agbodrafo,"Moov, Togocom",POINT (1.5201441262158928 6.220752454825467)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5078,Kara,Kozah,Kozah 1,Commune De Kara,"Moov, Togocom",POINT (1.1972420978631069 9.5486667416672)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5077,Maritime,Lacs,Lacs 4,Fiata,"Moov, Togocom",POINT (1.6359549999999998 6.315813333333334)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5076,Maritime,Lacs,Lacs 3,Agbodrafo,"Moov, Togocom",POINT (1.5059563867515193 6.2153536056320835)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5075,Maritime,Lacs,Lacs 1,Canton D’Aneho,"Moov, Togocom",POINT (1.6101333333333334 6.238166666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5074,Maritime,Lacs,Lacs 3,Agbodrafo,"Moov, Togocom",POINT (1.5336233333333333 6.214486666666667)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5073,Maritime,Lacs,Lacs 3,Agbodrafo,"Moov, Togocom",POINT (1.50402 6.221576666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5072,Maritime,Lacs,Lacs 3,Gbodjomé,"Moov, Togocom",POINT (1.3865628486175126 6.189379304714386)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5071,Maritime,Lacs,Lacs 3,Gbodjomé,"Moov, Togocom",POINT (1.4121492030044396 6.19420380986075)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5070,Maritime,Lacs,Lacs 3,Agbodrafo,Moov,POINT (1.5020297472529438 6.221139657063271)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-506f,Kara,Kozah,Kozah 1,Commune De Kara,"Moov, Togocom",POINT (1.197585 9.556000000000001)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-506e,Maritime,Lacs,Lacs 3,Agbodrafo,"Moov, Togocom",POINT (1.5005666666666664 6.21903)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-506d,Maritime,Lacs,Lacs 3,Gbodjomé,"Moov, Togocom",POINT (1.4064494179169278 6.192104433138325)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-506c,Kara,Kozah,Kozah 1,Commune De Kara,"Moov, Togocom",POINT (1.2119916666666666 9.558598333333332)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-506b,Kara,Kéran,Kéran 1,Kantè,Nsp,POINT (1.0624033333333334 9.951598333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-506a,Maritime,Lacs,Lacs 3,Agbodrafo,"Moov, Togocom",POINT (1.5035952115816695 6.215594274071621)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5069,Kara,Kozah,Kozah 1,Commune De Kara,"Moov, Togocom",POINT (1.1935133333333332 9.548203333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5068,Kara,Kéran,Kéran 1,Kantè,"Moov, Togocom",POINT (1.0597533333333333 9.952916666666665)
