FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,operateur,geometry
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ed8,Savanes,Tône,Tône 4,Sanfatoute,"Moov, Togocom",POINT (0.3032083333333333 10.996651666666667)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ed7,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",POINT (0.3600592001272428 10.717565088366083)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ed6,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.231485 10.878860000000001)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ed5,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",POINT (0.36035 10.717921666666665)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ed4,Maritime,Golfe,Golfe 1,Bè-Est,Nsp,POINT (1.2845533333333332 6.171833333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ed3,Savanes,Tône,Tône 1,Toaga,Togocom,POINT (0.2489566666666667 10.885906666666665)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ed2,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",POINT (0.3603193341104241 10.718124249426852)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ed1,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,Togocom,POINT (0.3601712447675913 10.718348622033448)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ed0,Savanes,Tône,Tône 1,Toaga,Togocom,POINT (0.2392606758149832 10.882063923216391)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ecf,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,"Moov, Togocom",POINT (0.1864104159983782 11.00668450253974)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ece,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Nayéga,"Moov, Togocom",POINT (0.4091616666666667 10.751848333333331)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ecd,Savanes,Tône,Tône 1,Dapaong,Togocom,POINT (0.2020216666666666 10.865521666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ecc,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.2020533333333333 10.865516666666668)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ecb,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.2017816666666667 10.865371666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6eca,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.20137 10.866153333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ec9,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.2026883333333333 10.864476666666667)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ec8,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.2026296669965144 10.864457306134542)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ec7,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.19946 10.864713333333334)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ec6,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.20313 10.864866666666668)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ec5,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.2032233333333333 10.864973333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ec4,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,Moov,POINT (0.1919290572081031 11.012449060371543)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ec3,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.19793 10.864121666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ec2,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.1995246969729944 10.868651333587971)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ec1,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.1999333333333334 10.867818333333332)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ec0,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.2044666666666667 10.863693333333334)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ebf,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.1994633333333334 10.868625000000002)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ebe,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.1943983333333333 10.863111666666668)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ebd,Savanes,Tône,Tône 1,Dapaong,Togocom,POINT (0.2040916666666667 10.863585)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ebc,Savanes,Tône,Tône 4,Korbongou,Moov,POINT (0.3696533333333333 10.942331666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ebb,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.1921566666666667 10.861663333333334)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6eba,Savanes,Tône,Tône 4,Louanga,"Moov, Togocom",POINT (0.3324983333333333 10.892733333333334)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6eb9,Savanes,Tône,Tône 4,Louanga,"Moov, Togocom",POINT (0.33101 10.903838333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6eb8,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",POINT (0.377745 10.725439999999999)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6eb7,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,"Moov, Togocom",POINT (0.1797596499930003 11.028229950523473)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6eb6,Savanes,Tône,Tône 1,Dapaong,Nsp,POINT (0.2036435954424676 10.864215254278882)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6eb5,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.19917 10.868955000000001)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6eb4,Savanes,Tône,Tône 2,Naki-Ouest,Nsp,POINT (0.093384896667069 10.90627849910268)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6eb3,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.2039571787728624 10.863133222132358)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6eb2,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",POINT (0.3799806764482449 10.727152510028883)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6eb1,Savanes,Tône,Tône 3,Warkambou,Togocom,POINT (-0.0347316666666667 10.783750000000001)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6eb0,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,Moov,POINT (0.1922254393991932 11.032544777826768)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6eaf,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",POINT (0.382567526932995 10.728348957265222)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6eae,Savanes,Tône,Tône 2,Naki-Ouest,Moov,POINT (0.0914716666666667 10.906164999999998)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ead,Maritime,Zio,Zio 3,Agbélouvé,Nsp,POINT (1.1673550000000001 6.674436666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6eac,Maritime,Zio,Zio 3,Agbélouvé,"Moov, Togocom",POINT (1.169835527954165 6.681035540158565)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6eab,Maritime,Zio,Zio 3,Agbélouvé,"Moov, Togocom",POINT (1.1663354799892047 6.6729037819230985)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6eaa,Plateaux,Akébou,Akébou 1,Kougnohou,Togocom,POINT (0.7936278586123118 7.647733964939098)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ea9,Maritime,Zio,Zio 3,Agbélouvé,"Moov, Togocom",POINT (1.1614733333333334 6.670964999999999)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ea8,Savanes,Cinkassé,Cinkassé 1,Cinkassé,"Moov, Togocom",POINT (0.0204733333333333 11.098993333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ea7,Savanes,Cinkassé,Cinkassé 2,Biankouri,"Moov, Togocom",POINT (0.05283 11.015391666666668)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ea6,Savanes,Cinkassé,Cinkassé 1,Cinkassé,"Moov, Togocom",POINT (0.0198 11.098811666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ea5,Maritime,Zio,Zio 1,Tsévié,"Moov, Togocom",POINT (1.2108433333333333 6.420000000000001)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ea4,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.2048133333333334 10.864156666666668)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ea3,Savanes,Tône,Tône 1,Toaga,"Moov, Togocom",POINT (0.267025 10.944621666666668)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ea2,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.2044129808458262 10.863586871844447)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ea1,Savanes,Tône,Tône 1,Toaga,"Moov, Togocom",POINT (0.266925 10.944346666666668)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6ea0,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",POINT (0.2983533333333333 10.976244999999999)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e9f,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",POINT (0.3798630730591543 10.727067384405697)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e9e,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.2040113656165219 10.863058844873635)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e9d,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.1967966666666667 10.872485)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e9c,Savanes,Tône,Tône 4,Kantindi,"Moov, Togocom",POINT (0.2675693972280633 10.944003937325009)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e9b,Savanes,Tône,Tône 4,Kantindi,"Moov, Togocom",POINT (0.2674993987542178 10.943975425708386)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e9a,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.2054233333333334 10.864293333333334)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e99,Savanes,Tône,Tône 4,Korbongou,Nsp,POINT (0.3517743875871579 10.910086581295944)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e98,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.2038874741730438 10.864781551996135)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e97,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",POINT (0.092949446818035 10.906370926363968)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e96,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.1792183333333333 10.854684999999998)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e95,Savanes,Tône,Tône 2,Naki-Ouest,Togocom,POINT (0.0929539586711017 10.906372046964869)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e94,Savanes,Tône,Tône 3,Warkambou,Moov,POINT (0.0035433333333333 10.800401666666668)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e93,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",POINT (0.3588037508670197 10.906378989353229)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e92,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",POINT (0.3583025944405935 10.906148627185381)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e91,Savanes,Tône,Tône 4,Korbongou,Moov,POINT (0.3581466708877847 10.90596200924057)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e90,Savanes,Tône,Tône 4,Kantindi,"Moov, Togocom",POINT (0.2786824147001287 10.894600204043309)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e8f,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",POINT (0.0950041621955588 10.905690638936512)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e8e,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",POINT (0.0934435898356416 10.906217308843761)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e8d,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",POINT (0.092375 10.906816666666668)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e8c,Savanes,Tône,Tône 2,Naki-Ouest,Moov,POINT (0.0922826426327096 10.906604273736766)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e8b,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",POINT (0.2998383333333334 10.9316)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e8a,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",POINT (0.092054188412981 10.906532035799557)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e89,Savanes,Oti-Sud,Oti-Sud 1,Mogou,Nsp,POINT (0.6441516325338709 10.383212723912587)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e88,Savanes,Oti,Oti 1,Faré,"Moov, Togocom",POINT (0.393440574095371 10.179847402403539)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e87,Savanes,Tône,Tône 2,Naki-Ouest,Moov,POINT (0.093792401455292 10.906098835317358)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e86,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",POINT (0.304640416586605 10.914779707853825)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e85,Savanes,Tône,Tône 1,Poissongui,Moov,POINT (0.2017616666666667 11.057391666666668)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e84,Savanes,Tandjoaré,Tandjoaré 1,Bombouaka,"Moov, Togocom",POINT (0.17861 10.729180000000001)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e83,Savanes,Tône,Tône 2,Naki-Ouest,Moov,POINT (0.1148514582800882 10.914356495021487)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e82,Savanes,Oti,Oti 1,Sadori,"Moov, Togocom",POINT (0.4011966666666666 10.244228333333332)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e81,Savanes,Tône,Tône 4,Louanga,Togocom,POINT (0.328350529186266 10.910199983932833)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e80,Savanes,Tône,Tône 4,Louanga,Togocom,POINT (0.3864958167500126 10.831390445796908)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e7f,Savanes,Tône,Tône 1,Kourientre,Togocom,POINT (0.2250895713090332 10.977551597874985)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e7e,Savanes,Tône,Tône 4,Korbongou,Moov,POINT (0.326934611309166 10.910694348746073)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e7d,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Nsp,POINT (0.012975 11.100688333333334)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e7c,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",POINT (0.3046693863308753 10.914702655329195)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e7b,Savanes,Tône,Tône 4,Louanga,"Moov, Togocom",POINT (0.3146249802372387 10.900095192812675)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e7a,Savanes,Oti,Oti 1,Mango,"Moov, Togocom",POINT (0.472685 10.35881)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e79,Savanes,Tône,Tône 1,Toaga,"Moov, Togocom",POINT (0.2648449007727379 10.886283174079104)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e78,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",POINT (0.3223658693141428 10.911889851930953)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e77,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",POINT (0.298085 10.975646666666668)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e76,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",POINT (0.298015 10.976141666666669)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e75,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",POINT (0.2988466666666667 10.976135)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e74,Savanes,Tône,Tône 4,Korbongou,Moov,POINT (0.2996283333333333 10.976394999999998)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e73,Savanes,Tône,Tône 4,Sanfatoute,"Moov, Togocom",POINT (0.3034927367315895 10.9971097003508)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e72,Savanes,Tône,Tône 4,Sanfatoute,"Moov, Togocom",POINT (0.2950316666666666 11.044009999999998)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e71,Savanes,Tône,Tône 4,Sanfatoute,"Moov, Togocom",POINT (0.2947742357430775 11.044710399998342)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e70,Savanes,Tandjoaré,Tandjoaré 2,Tampialime,"Moov, Togocom",POINT (0.00158 10.747784999999999)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e6f,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",POINT (0.3153111407171695 10.91308189081557)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e6e,Savanes,Tandjoaré,Tandjoaré 2,Tampialime,Togocom,POINT (0.0021834469596853 10.747610942233418)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e6d,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",POINT (0.107485 10.955029999999999)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e6c,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",POINT (0.1075129121354829 10.95503283977699)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e6b,Savanes,Oti,Oti 1,Mango,Togocom,POINT (0.4761264509156675 10.357292615662566)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e6a,Maritime,Golfe,Golfe 3,Bè-Ouest,Nsp,POINT (1.2082212315638385 6.157833043787537)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e69,Maritime,Golfe,Golfe 3,Bè-Ouest,Nsp,POINT (1.2081650383383553 6.157060118657945)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e68,Maritime,Golfe,Golfe 3,Bè-Ouest,Nsp,POINT (1.2086607571389683 6.155994473818737)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e67,Maritime,Golfe,Golfe 3,Bè-Ouest,Nsp,POINT (1.2084824521783597 6.154620664030015)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e66,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,"Moov, Togocom",POINT (1.1989550388265922 6.225740189357842)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e65,Maritime,Golfe,Golfe 5,Aflao-Gakli,Nsp,POINT (1.1880033333333333 6.195036666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e64,Maritime,Golfe,Golfe 3,Bè-Ouest,Nsp,POINT (1.2037773328057835 6.155878092953007)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e63,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",POINT (0.3272913379932814 10.99130995419568)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e62,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",POINT (0.3276166666666667 10.991641666666665)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e61,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",POINT (0.061755 10.89387)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e60,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Ogaro,"Moov, Togocom",POINT (0.4717666666666667 10.742703333333335)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e5f,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Ogaro,"Moov, Togocom",POINT (0.4707255620512244 10.742886527413386)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e5e,Savanes,Cinkassé,Cinkassé 1,Cinkassé,"Moov, Togocom",POINT (0.0253480353695872 11.096416064813095)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e5d,Savanes,Tandjoaré,Tandjoaré 1,Tamongue,"Moov, Togocom",POINT (0.1416733333333334 10.539721666666667)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e5c,Savanes,Cinkassé,Cinkassé 1,Cinkassé,"Moov, Togocom",POINT (0.0065390684340855 11.105031793234032)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e5b,Savanes,Tône,Tône 2,Nanergou,"Moov, Togocom",POINT (0.1377255715769687 10.910137308070695)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e5a,Savanes,Tône,Tône 2,Nanergou,Moov,POINT (0.1373712705725859 10.910496152021503)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e59,Savanes,Cinkassé,Cinkassé 1,Cinkassé,"Moov, Togocom",POINT (0.0335797360700381 11.094226429010973)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e58,Savanes,Tandjoaré,Tandjoaré 1,Tamongue,"Moov, Togocom",POINT (0.1971316666666666 10.512936666666667)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e57,Savanes,Tône,Tône 2,Nanergou,"Moov, Togocom",POINT (0.1489079118903999 10.913322455488565)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e56,Savanes,Tône,Tône 2,Nanergou,"Moov, Togocom",POINT (0.1486642529002149 10.91355434747263)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e55,Savanes,Tandjoaré,Tandjoaré 1,Tamongue,"Moov, Togocom",POINT (0.2068066666666667 10.515456666666667)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e54,Savanes,Oti,Oti 1,Sadori,"Moov, Togocom",POINT (0.466945 10.293353333333332)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e53,Savanes,Oti,Oti 2,Loko,Moov,POINT (0.2179683333333333 10.530748333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e52,Savanes,Tône,Tône 2,Nanergou,"Moov, Togocom",POINT (0.1477392801765146 10.91464009222483)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e51,Savanes,Tône,Tône 1,Natigou,"Moov, Togocom",POINT (0.2610675435142361 10.982167602592725)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e50,Savanes,Oti,Oti 1,Sadori,"Moov, Togocom",POINT (0.4667966666666666 10.293148333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e4f,Savanes,Oti,Oti 2,Loko,Moov,POINT (0.2111625300125176 10.5194567367438)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e4e,Savanes,Oti,Oti 1,Sadori,"Moov, Togocom",POINT (0.4665352503600536 10.293211310997782)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e4d,Savanes,Tône,Tône 2,Naki-Ouest,Togocom,POINT (0.134564761666363 10.941388387093987)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e4c,Savanes,Tandjoaré,Tandjoaré 1,Tamongue,Moov,POINT (0.16169 10.514634999999998)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e4b,Savanes,Oti,Oti 2,Barkoissi,"Moov, Togocom",POINT (0.3520485252994079 10.589684731913016)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e4a,Savanes,Oti,Oti 2,Barkoissi,Moov,POINT (0.3521415899225705 10.589503470252797)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e49,Savanes,Tandjoaré,Tandjoaré 1,Tamongue,"Moov, Togocom",POINT (0.14668 10.524006666666667)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e48,Savanes,Cinkassé,Cinkassé 2,Sam-Naba,"Moov, Togocom",POINT (0.1675974885517995 11.070232041203516)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e47,Savanes,Oti,Oti 2,Barkoissi,"Moov, Togocom",POINT (0.308911445472455 10.560566043469157)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e46,Savanes,Tandjoaré,Tandjoaré 1,Tamongue,"Moov, Togocom",POINT (0.1433866666666667 10.533801666666667)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e45,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",POINT (0.137032017143522 10.950826908240085)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e44,Savanes,Tandjoaré,Tandjoaré 1,Tamongue,"Moov, Togocom",POINT (0.142865 10.535596666666667)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e43,Savanes,Oti,Oti 2,Barkoissi,"Moov, Togocom",POINT (0.3968933333333334 10.610443333333334)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-6e42,Savanes,Tône,Tône 3,Lotogou,"Moov, Togocom",POINT (0.033185 10.766173333333333)
