FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,activite_statut,activite_categorie,toilette_type,geometry
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f48,Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,Awassi Onorio,Boutique Togocom Awassi Onorio,"Boutique Togocom Awassi Onorio, Awassi Onorio","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp ,{Ferme},Agence Togocom,Nsp,POINT (1.62298 6.496435000000001)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f47,Plateaux,Haho,Haho 4,Wahala,Wahala,Agence Togocom Wahala,"Agence Togocom Wahala, Wahala","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2018,{Utilise},Agence Togocom,Nsp,POINT (1.1648266666666667 7.174345)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f46,Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,Tohoun,Agence Togocom Tohoun,"Agence Togocom Tohoun, Tohoun","{jeudi,Lundi,Mardi,Mercredi,Vendredi}",Nsp ,{Utilise},Agence Togocom,{Latrines a eau},POINT (1.6099366666666668 7.022291666666666)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f45,Plateaux,Ogou,Ogou 3,Gléi,Affaire Sociale ,Point de Vente Togocom Glei,"Point de Vente Togocom Glei, Affaire Sociale ","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,{Utilise},Agence Togocom,Nsp,POINT (1.16454 7.315633333333333)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f44,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Djodjokondji,Agence Togocom Djodjokondji,"Agence Togocom Djodjokondji, Djodjokondji","{Mardi,Lundi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Togocom,"{Douches,WCs}",POINT (0.6346387593291425 6.900210361505778)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f43,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Atakpame Kondji,Agence Moov Atakpame Kondji,"Agence Moov Atakpame Kondji, Atakpame Kondji","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2012,{Utilise},Agence Moov,"{WCs,Douches}",POINT (0.6323238302268985 6.912437527210687)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f42,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,Kpele Adeta,Franchise Togocom Kpele Adeta,"Franchise Togocom Kpele Adeta, Kpele Adeta","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2018,{Utilise},Agence Togocom,Nsp,POINT (0.7312616666666667 7.131715000000001)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f41,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,Kpele Adeta ,Moov Store de Kpele Adeta,"Moov Store de Kpele Adeta, Kpele Adeta ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2021,{Utilise},Agence Moov,"{Latrines a eau,Douches}",POINT (0.7312633333333333 7.132038333333332)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f40,Plateaux,Anié,Anié 1,Anié,Anie,Agence Tococom Anie,"Agence Tococom Anie, Anie","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2008,{Utilise},Agence Togocom,{WCs},POINT (1.1928466666666668 7.764953333333334)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f3f,Plateaux,Anié,Anié 1,Anié,Anie,Agence Moov Anie,"Agence Moov Anie, Anie","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Moov,"{WCs,Douches}",POINT (1.1934399999999998 7.759781666666667)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f3e,Plateaux,Haho,Haho 3,Kpédomé,Tegbe,Agence Togocom Notse,"Agence Togocom Notse, Tegbe","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2000,{Utilise},Agence Togocom,{WCs},POINT (1.1720865663441928 6.964964238966572)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f3d,Plateaux,Haho,Haho 1,Notsé,Tegbe,Agence Moov Notse,"Agence Moov Notse, Tegbe","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2011,{Utilise},Agence Moov,{WCs},POINT (1.1710633871826346 6.953371969046462)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f3c,Plateaux,Agou,Agou 1,Agou-Tavié,Gadzepe,Agence Togocom Gadzepe,"Agence Togocom Gadzepe, Gadzepe","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",Nsp,{Utilise},Agence Togocom,"{WCs,Latrines seches,Douches}",POINT (0.716431603393936 6.846996147111316)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f3b,Savanes,Tône,Tône 1,Dapaong,Napiegou ,Agence Togocom Dapaong,"Agence Togocom Dapaong, Napiegou ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",1998,{Utilise},Agence Togocom,{Latrines a eau},POINT (0.2034783333333333 10.862998333333334)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f3a,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Cinkasse ,Agence Togocom Cinkasse,"Agence Togocom Cinkasse, Cinkasse ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Dimanche}",2012,{Utilise},Agence Togocom,{Latrines a eau},POINT (0.0396640250646777 11.087926289288212)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f39,Savanes,Tône,Tône 1,Dapaong,"Dapaong, Quartier Natebagou",Franchise Moov Dapaong,"Franchise Moov Dapaong, Dapaong, Quartier Natebagou","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2011,{Utilise},Agence Moov,{WCs},POINT (0.2028833333333333 10.876091666666666)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f38,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Cinkanssé ,Franchise Moov Cinkanssé,"Franchise Moov Cinkanssé, Cinkanssé ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2011,{Utilise},Agence Moov,{WCs},POINT (0.020775 11.097228333333332)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f37,Savanes,Oti-Sud,Oti-Sud 1,Gando,Gando ,Agence Togocom Gando,"Agence Togocom Gando, Gando ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2019,{Utilise},Agence Togocom,{Latrines seches},POINT (0.7468683333333334 10.331795)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f36,Savanes,Oti,Oti 1,Mango,Djabou ,Agence Togocom Mango,"Agence Togocom Mango, Djabou ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2015,{Utilise},Agence Togocom,{Latrines a eau},POINT (0.465361704808692 10.35530386025091)
