FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,activite_statut,activite_categorie,toilette_type,geometry
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f7d,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Plateau,Franchise Togocom Agoe Plateau,"Franchise Togocom Agoe Plateau, Agoe Plateau","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,Nsp,Agence Togocom,Nsp,POINT (1.1871283333333333 6.21647)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f7c,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Elavagno Kleve,Agence Togocom Elavagno Kleve,"Agence Togocom Elavagno Kleve, Elavagno Kleve",Néant,Nsp,Nsp,Agence Togocom,Nsp,POINT (1.1666036 6.2111736)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f7b,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Anokui,Franchise Togocom Agoe Anokui,"Franchise Togocom Agoe Anokui, Anokui","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Togocom,"{WCs,Douches}",POINT (1.1871983333333334 6.242343333333334)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f7a,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Zossime,Agence Togocom Zossime,"Agence Togocom Zossime, Zossime","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2017,{Utilise},Agence Togocom,{WCs},POINT (1.149106424593853 6.233276083750482)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f79,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Agoe Zongo,Franchise Togocom Togblekope,"Franchise Togocom Togblekope, Agoe Zongo","{Mardi,Lundi,Mercredi,jeudi,Vendredi,Samedi}",2010,{Utilise},Agence Togocom,Nsp,POINT (1.2080261674107036 6.2575874100528965)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f78,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Adeticope Centre,Franchise Togocom Adeticope,"Franchise Togocom Adeticope, Adeticope Centre","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2018,{Utilise},Agence Togocom,{WCs},POINT (1.2177537159215872 6.3173511047052155)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f77,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Logope ,Franchise Togocom Bewise,"Franchise Togocom Bewise, Logope , 07BP14544","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2019,{Utilise},Agence Togocom,{WCs},POINT (1.1685836153911537 6.241372703033745)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f76,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Legbassito,Franchise Togocom Legbassito,"Franchise Togocom Legbassito, Legbassito","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2018,{Utilise},Agence Togocom,{WCs},POINT (1.1549966666666667 6.266943333333334)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f75,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Sagbado,Agence Moov Sagbado,"Agence Moov Sagbado, Sagbado","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2018,{Utilise},Agence Moov,{WCs},POINT (1.13712 6.1936800000000005)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f74,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidogome,Agence Togocom Adigome,"Agence Togocom Adigome, Adidogome","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Togocom,{WCs},POINT (1.17849303184076 6.176719403333803)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f73,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Sagbado,Boutique Togocom Sagbado,"Boutique Togocom Sagbado, Sagbado","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2015,{Utilise},Agence Togocom,{WCs},POINT (1.1398874950724767 6.193598287324705)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f72,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidogome Madiba,Agence Togocom Madiba,"Agence Togocom Madiba, Adidogome Madiba, 31BP13 Lomé","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2019,{Utilise},Agence Togocom,{WCs},POINT (1.1496116666666665 6.19941)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f71,Maritime,Golfe,Golfe 5,Aflao-Gakli,Totsi,Agence Togocom Totsi,"Agence Togocom Totsi, Totsi, BP333","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2009,{Utilise},Agence Togocom,"{WCs,Douches}",POINT (1.19183 6.190435)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f70,Maritime,Golfe,Golfe 5,Aflao-Gakli,Aflao Gakli ,Agence Togocom Aflao Gakli,"Agence Togocom Aflao Gakll, Aflao Gakli , PB 330","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2019,{Utilise},Agence Togocom,"{WCs,Latrines a eau}",POINT (1.1997529975220893 6.16972778352689)
