prefecture_pdf,canton_pdf,masculin,feminin,population_totale,adm2_name,adm3_name,adm3_pcode,center_lat,center_lon,area_sqkm,method
Vo,MOME-HOUNKPATI,7622,9136,16758,Vo,Mome-Hounkpati,TG030606,6.502912,1.55479811,42.03791153,exact_pref
Vo,AKOUMAPE,8780,10407,19187,Vo,Akoumape,TG030601,6.433624,1.43719233,123.41311181,exact_pref
Vo,SEVAGAN,5942,6977,12919,Vo,Sevagan,TG030607,6.31843,1.42207867,63.68895772,exact_pref
Vo,HAHOTOE,6635,7758,14393,Vo,Hahotoe,TG030605,6.3964085,1.38973692,38.92518801,exact_pref
Avé,KEVE,5524,6211,11735,Ave,Keve,TG030105,6.478304,1.01955256,105.78303589,exact_pref
Avé,DZOLO,3751,4350,8101,Ave,Dzolo,TG030104,6.380591,0.90563391,123.4217079,exact_pref
Avé,EDZI,859,973,1832,,,,,,,unmatched
Avé,TOVEGAN,6152,6580,12732,Ave,Tovegan,TG030107,6.6162905,0.9155744,188.80213605,exact_pref
Avé,ASSAHOUN/ANDO,19326,21318,40644,Ave,Assahoun/Ando Peme,TG030102,6.4986765,0.85115802,377.66242577,fuzzy
Avé,NOEPE,4747,5049,9796,Ave,Noepe,TG030106,6.277793,1.03944995,37.3412055,exact_pref
Avé,BADJA,4699,4714,9413,Ave,Badja,TG030103,6.3763795,1.01826737,173.55284604,exact_pref
Avé,AKEPE,8273,8688,16961,Ave,Akepe,TG030101,6.2306755,1.07088335,42.7592164,exact_pref
Ogou,DJAMA,22867,23018,45885,,,,,,,unmatched
Ogou,GNAGNA,29195,31027,60222,Ogou,Gnagna,TG040904,7.5037845,1.16031023,76.22693236,exact_pref
Ogou,WOUDOU,4899,5295,10194,Ogou,Houdou,TG040905,7.6041065,1.1774126,67.48655252,fuzzy
Ogou,DATCHA,7277,7903,15180,Ogou,Datcha,TG040902,7.4069995,1.18572572,98.1093104,exact_pref
Ogou,KATORE,6904,6731,13635,Ogou,Katore,TG040906,7.383606,1.31635783,277.38161312,exact_pref
Ogou,AKPARE,13737,13730,27467,Ogou,Akpare,TG040901,7.453272,1.34743587,276.34673865,exact_pref
Ogou,GLEI,25362,26474,51836,Ogou,Glei,TG040903,7.2810905,1.24406962,455.49961696,exact_pref
Ogou,OUNTIVOU,13832,15216,29048,Ogou,Ountivou,TG040908,7.4182145,1.55545581,444.35822378,exact_pref
Moyen-Mono,TOHOUN,8507,9886,18393,Moyen-Mono,Tohoun,TG040806,7.0528345,1.60018921,112.91748905,exact_pref
Moyen-Mono,TADO,8696,9780,18476,Moyen-Mono,Tado,TG040805,7.141002,1.56924741,180.43164662,exact_pref
Moyen-Mono,AHASSOME,4492,5436,9928,Moyen-Mono,Ahassome,TG040801,7.2086135,1.514053,133.02016658,exact_pref
Moyen-Mono,KPEKPLEME,10088,12047,22135,Moyen-Mono,Kpekpleme,TG040803,7.3007125,1.58717434,97.80843708,exact_pref
Moyen-Mono,KATOME,3679,4426,8105,Moyen-Mono,Katome,TG040802,7.3725795,1.61528325,24.0583501,exact_pref
